sender_account,receiver_account,amount,currency,timestamp,transaction_type,payment_channel,ifsc,bank_name,branch,beneficiary,purpose,transaction_id
ACC-MULE-R1,ACC-RECEIVER-A,15000.00,USD,2026-07-17T10:00:00Z,TRANSFER,SWIFT,GENEVCH1,Bank of Geneva,Geneva Main,Receiver A,Art Purchase Fund,TX-R1-001
ACC-MULE-R1,ACC-RECEIVER-B,18000.00,USD,2026-07-17T11:30:00Z,TRANSFER,SWIFT,GENEVCH1,Bank of Geneva,Geneva Main,Receiver B,Business Investment,TX-R1-002
ACC-MULE-R2,ACC-RECEIVER-A,150.00,USD,2026-03-01T08:00:00Z,TRANSFER,ACH,GENEVCH1,Bank of Geneva,Geneva Main,Receiver A,Monthly Rent,TX-R2-001
ACC-MULE-R2,ACC-RECEIVER-B,500.00,USD,2026-07-17T09:00:00Z,TRANSFER,ACH,GENEVCH1,Bank of Geneva,Geneva Main,Receiver B,Online Purchase,TX-R2-002
ACC-MULE-R2,ACC-RECEIVER-C,1000.00,USD,2026-07-17T10:15:00Z,TRANSFER,ACH,GENEVCH1,Bank of Geneva,Geneva Main,Receiver C,Family Support,TX-R2-003
ACC-MULE-R2,ACC-RECEIVER-D,200.00,USD,2026-07-17T12:00:00Z,TRANSFER,ACH,GENEVCH1,Bank of Geneva,Geneva Main,Receiver D,Invoice payment,TX-R2-004
ACC-MULE-R2,ACC-RECEIVER-E,350.00,USD,2026-07-17T13:45:00Z,TRANSFER,ACH,GENEVCH1,Bank of Geneva,Geneva Main,Receiver E,Services,TX-R2-005
ACC-MULE-R2,ACC-RECEIVER-F,1200.00,USD,2026-07-17T15:20:00Z,TRANSFER,ACH,GENEVCH1,Bank of Geneva,Geneva Main,Receiver F,General,TX-R2-006
ACC-MULE-R2,ACC-RECEIVER-G,900.00,USD,2026-07-17T16:10:00Z,TRANSFER,ACH,GENEVCH1,Bank of Geneva,Geneva Main,Receiver G,Consulting,TX-R2-007
ACC-MULE-R3,ACC-FAN-OUT-1,100.00,USD,2026-07-17T08:00:00Z,TRANSFER,P2P,GENEVCH1,Bank of Geneva,Geneva Main,Fan Out 1,P2P split,TX-R3-001
ACC-MULE-R3,ACC-FAN-OUT-2,150.00,USD,2026-07-17T08:15:00Z,TRANSFER,P2P,GENEVCH1,Bank of Geneva,Geneva Main,Fan Out 2,P2P split,TX-R3-002
ACC-MULE-R3,ACC-FAN-OUT-3,200.00,USD,2026-07-17T08:30:00Z,TRANSFER,P2P,GENEVCH1,Bank of Geneva,Geneva Main,Fan Out 3,P2P split,TX-R3-003
ACC-MULE-R3,ACC-FAN-OUT-4,100.00,USD,2026-07-17T08:45:00Z,TRANSFER,P2P,GENEVCH1,Bank of Geneva,Geneva Main,Fan Out 4,P2P split,TX-R3-004
ACC-MULE-R3,ACC-FAN-OUT-5,300.00,USD,2026-07-17T09:00:00Z,TRANSFER,P2P,GENEVCH1,Bank of Geneva,Geneva Main,Fan Out 5,P2P split,TX-R3-005
ACC-MULE-R3,ACC-FAN-OUT-6,120.00,USD,2026-07-17T09:15:00Z,TRANSFER,P2P,GENEVCH1,Bank of Geneva,Geneva Main,Fan Out 6,P2P split,TX-R3-006
ACC-NODE-A,ACC-NODE-B,4500.00,USD,2026-07-17T12:00:00Z,TRANSFER,SWIFT,GENEVCH1,Bank of Geneva,Geneva Main,Node B,Asset Transfer,TX-R4-001
ACC-NODE-B,ACC-NODE-C,4500.00,USD,2026-07-17T14:00:00Z,TRANSFER,SWIFT,GENEVCH1,Bank of Geneva,Geneva Main,Node C,Asset Transfer,TX-R4-002
ACC-NODE-C,ACC-NODE-A,4500.00,USD,2026-07-17T16:00:00Z,TRANSFER,SWIFT,GENEVCH1,Bank of Geneva,Geneva Main,Node A,Asset Reversal,TX-R4-003
